Name,Favorite Flower,Favorite Tool,Favorite Season
Adam,Rose,Spade,Winter
Bella,Lily,Shovel,Spring
Carlos,Lavender,Sickle,Autumn
Diana,Carnation,Rake,Summer
Ethan,Tulip,Watering Can,Winter
Fiona,Rose,Spade,Spring
George,Lily,Shovel,Autumn
Hannah,Lavender,Sickle,Summer
Ian,Carnation,Rake,Winter
Jenna,Tulip,Watering Can,Spring
Kevin,Rose,Spade,Autumn
Lila,Lily,Shovel,Summer
Miguel,Lavender,Sickle,Winter
Nora,Carnation,Rake,Spring
Oscar,Tulip,Watering Can,Autumn
Pam,Rose,Spade,Summer
Quinn,Lily,Shovel,Winter
Rachel,Lavender,Sickle,Spring
Sam,Carnation,Rake,Autumn
Tina,Tulip,Watering Can,Summer
Uri,Rose,Spade,Winter
Vera,Lily,Shovel,Spring
Walter,Lavender,Sickle,Autumn
Xena,Carnation,Rake,Summer
Yara,Tulip,Watering Can,Winter
Zach,Rose,Spade,Spring
Amy,Lily,Shovel,Autumn
Ben,Lavender,Sickle,Summer
Cleo,Carnation,Rake,Winter
Dan,Tulip,Watering Can,Spring
Eve,Rose,Spade,Autumn
Frank,Lily,Shovel,Summer
Gina,Lavender,Sickle,Winter
Hank,Carnation,Rake,Spring
Ida,Tulip,Watering Can,Autumn
Jack,Rose,Spade,Summer
Kara,Lily,Shovel,Winter
Leo,Lavender,Sickle,Spring
Mia,Carnation,Rake,Autumn
Nate,Tulip,Watering Can,Summer
Olivia,Rose,Spade,Winter
Pete,Lily,Shovel,Spring
Quincy,Lavender,Sickle,Autumn
Rita,Carnation,Rake,Summer
Steve,Tulip,Watering Can,Winter
Tiffany,Rose,Spade,Spring
Uma,Lily,Shovel,Autumn
Vince,Lavender,Sickle,Summer
Wendy,Carnation,Rake,Winter
Xavier,Tulip,Watering Can,Spring
Yvette,Rose,Spade,Autumn
